Autor,Año,Vitrina,
Rescate de la memoria fotográfica de Quebrada de Alvarado (1890-1973),"Moyano Altamirano, Cristian",Arte,
Cocina sana y feliz,"Achurra, Connie",Cocina,
Galeria Modigliani,"Samoiedo, Dino",Arte,
"La faena, arte y vida de la pesca artesanal en el litoral de Aysén","Arregui Berger, Cristián",Ensayo,
Los pintores de medio siglo en Chile,"Helfant, Ana",Arte,
Artesania tradicional de Chile,"Berg Salvo, Lorenzo",Arte,
Precursores de la pintura chilena,"Solanich S., Enrique",Arte,
"Pintura Chilena Contemporánea, segunda exposición itinerante norte","Helfant, Ana",Arte,
"Pintura Chilena Contemporánea, segunda exposición itinerante sur","Carvacho Herrera, Victor",Arte,
Amereida,Escuela de Arquitectura y Diseño PUCV,Poesía,
"La hora digna, antología poética","Cruchaga Santamaría, Ángel",Poesía,
Romances populares y vulgares recogidos de la tradición oral chilena,"Vicuña Cifuentes, Julio",Poesía,
Deep freeze,"Kay, Ronald",Poesía,
"50 golpes, Muestra poética a los cincuenta años del golpe de Estado","Fuentes, Dounkan (y otros 49)",Poesía,
Desplazamientos de la memoria y otros poemas,"Morales, Emilio",Poesía,
Memorándum chileno,"Arenas, Braulio",Poesía,
Utopía,"Moro, Tomás",Ensayo,
Surameris y el cofre de los secretos,"Castro Moreno, Fresia",,
Edipo rey y Antígona,Sófocles,Teatro,
Confianza en uno mismo y otros ensayos,"Emerson, Ralph Waldo ",Ensayo,
"Yo, Rubén Darío","Gibson, Ian",Novela,
Semillas y cantares,"Pérez, María del Carmen",Historia,
"Fernando Durán, poesía y ensayos","Durán, Fernando",Poesía,
El angel azul,"Mann, Heinrich",Novela,
Autores de la Región de O'Higgins,"Agoni, Luis (y otros 18)",Poesía,
Literatura Iberoamericana,"Saz, Agustín del",Ensayo,
Manual para el análisis fonético acústico,"Montes de Oca, Domingo Román",Ciencia,
Nada de nada,"Meyer Monsalve, Paulo Andrés",Poesía,
Los surcos inundados,"Taub Rosenmann, David",Poesía,
Todo Ubú,"Jarry, Alfred",Teatro,
San Juan de la Cruz Poesías completas,"Cruz, San Juan de la",Poesía,
"Nietzsche, Freud, Marx","Foucault, Michel",Filosofía,
Tipografía en uso,Escuela de diseño UTEM,Arte,
Traductores y traducciones en la historia cultural de Amércia Latina,"Pagni, Andrea; Payas, Gertrudis; Willson, Patricia",Ensayo,
Tango para principiantes,"Salas, Horacio",Ensayo,
Un mundo raro,"Serrano, Marcela",Novela,
"San Manuel Bueno, martir y nada menos que todo un hombre","Unamuno, Manuel",Novela,
En el chileno el humor vive con uno: El lenguaje festivo y el sentido del humor en la cultura oral popular de Chile,"Salinas Campos, Maximiliano",Ensayo,
La máquina del tiempo,"Wells, H.G.",Novela,
Historias cortas,"Fonseca, Rubem",Cuento,
La novela murió,"Fonseca, Rubem",Cuento,
Blanca montaña: Arquitectura reciente en Chile,"Muñoz, María José",ARTE,
"Diario de un escritor:Crónicas, artículos, crítica y apuntes","Dostoievski, Fiódor M.",Diarios,
Pepi la fea,"Wallace, Josefa",Novela,
Pepi la fea 2,"Wallace, Josefa",Novela,
Pepi la fea 3,"Wallace, Josefa",Novela,
Chilenas en armas: Testimonios e historia de mujeres militares y guerrilleras subversivas,"Zalaquett, Cherie",Historia,
Cuentos bizarros,"Paiva, Soledad",Cuento,
"RATI: Agente de la oficina, la Pacificación en Democracia (Investigación)","Tótoro Taulis, Dauno; Rebolledo Escobar, Javier",Ensayo (Historia),
Albatross,"Paiva, Soledad",Cuento,
Sin armas ni reconres: El robo al banco Río contado por sus autores,"Palacios, Rodolfo",Ensayo,
El nacimiento de una pasión: Historia de los clubes de fútbol,"Fabbri, Alejandro",Ensayo (Historia),
Hinchadas,"Alabarces, Pablo [y otros 9]",Ensayo,
"Si no aprendemos a luchar juntos, nos matarán por separado: Mi vivenvia en la Vanguardia Organizada del Pueblo (VOP)","Vallebona, Carlota ""Natacha""; Guerra, Felipe",Biografía, 
Retratos,"Capote, Truman",Ensayo,
Los tiempos,"Miranda Puentes, Joaquín",Poesía,
Lecturas de poesía chilena: De altazor a la Bandera de Chile,"Zaldívar, María Inés",Ensayo,
Gramática de la lengua española,"Pérez-Rioja, J.A.",Ensayo,
La pérgola,"González, Silvana",Poesía,
Conversación en la catedral. Volumen II,"Vargas Llosa, Mario",Novela,
Trenes: Una historia ilustrada,"Hamilton Ellis, C.",Historia,
Romeo y Julieta=Romeo and Juliet,"Shakespeare, William",Teatro,
Dios y dioses: Historia religiosa del hombre,"Bentué, Antonio",Historia,
La voz a ti debida,"Salinas, Pedro",Poesía,
Chilenos en la amazonía,"Sievers W., Hugo K.",Ensayo,
Los Simpson la historia familiar: Un homenaje a la familia favorita de la televisión,"Groening, M",Ensayo (literatura infantil),
¿Dónde está Wally? ¡A la caza del cuadro escondido!,"Handford, Martin",Literatura infantil,
Los secretos del infinito: 150 respuestas al enigma,"Lamúa, Antonio",Ensayo,
La llama doble: Amor y erotismo,"Paz, Octavio",Ensayo,
El anfitrión,"Dalmazzo, Alejandro",Novela,
Muerte y búsquedas de inmortalidad,"Bentué, Antonio",Ensayo,
Obras escogidas,"Lago, Tomás",Ensayo,
"Toponimia: Etimología de la geografía Mapuche, Huilliche y Chona de las regiones de Los Lagos y de Los Ríos","Kuschel Silva, Carlos Ignacio",Ensayo,
El perro vagabundo,"Pezoa Véliz, Carlos",Poesía,
Onirokitsch: Walter Benjamin y el surrealismo,"Ibarlucía, Ricardo",Filosofía,
Arauco domado ,"Vega, Lope de ",Teatro,
200 años de pintura chilena: Primera exposición itinerante,"Solanich S., Enrique",Arte,
Balance de Hemingway,"Bataille, George [y otros 9]",Ensayo,
Odisea,Homero,Novela,
Arte colonial en Chile,"González Echenique, Javier",,
Lira popular: Antología ,,Poesía,
Frente popular en Chile. Su configuración: 1935-1938,"Milos, Pedro",Historia,
La hojarasca,"García Márquez, Gabriel",Novela,
El que tiene sed,"Castillo, Abelardo",Novela,
Tierna es la noche,"Fitzgerald, Francis Scott",Novela,
Historias de la Historia. Tercera serie,"Fisas, Carlos",Historia,
Estudios y ensayos gongorinos,"Alonso, Damaso",Ensayo,
El plan infinito,"Allende, Isabel",Novela,
El lenguaje del campo: Historias y orígenes de las palabras relacionadas con la actividad agrícola,"Velis-Meza, Héctor",Ensayo,
Antología poética,"Diego, Gerardo",Poesía,
Ancia,"Otero, Blas de",Poesía,
Poesía chilena de hoy: De Parra a nuestros días,"Díaz, Erwin",Poesía,
Cazador recolector,"Méndez, Adán",Poesía,
"Braulio Arenas, realidad desalojada: Antología","Pfeiffer, Ernesto",Poesía,
En el corredor,"Velásquez, Jorge Óscar",Novela,
Qué es literatura,"Hombravella, Francisco J.",Ensayo,
Estructura social de Chile,"Godoy U., Hernán",Ciencias Sociales,
Breve historia de la literatura francesa,"Clouard, Henru",Ensayo (literatura),
Nueva historia de la literatura americana,"Sánchez, Luis Alberto",Historia (literatura),
Historia de la literatura española. Tomo III,"Valbuena Prat, Ángel",Historia (literatura),
Crónicas chillanejas,"Reyes, Marco Aurelio",Historia,
Variaciones: Ensayos sobre literatura y otras escrituras,"Olea, Raquel",Ensayo (literatura),
Dar la cara: El diseño de portadas en RIL editores,"Uribe Lamour, Marcelo",Arte,
Memorias incómodas de un mal viajero,"Hermosilla Gutiérrez, Matías",Poesía,
Sub-terra,"Lillo, Baldomero",Cuento,
Los mandarines (Historia del Bosque de los Letrados),"Jingzi, Wu",Novela,
Los orígenes de las lenguas neolatinas,"Tagliavini, Carlo",Ensayo,
Historia y evolución de la poesía rusa,"Wolkonsky, Olga de",Ensayo,
Panorama de la literatura del siglo XX,"Rousseaux, André",Ensayo,
Charly en el país de las alegorías: Un viaje por las letras de Charly García,"Favoretto, Mara",Ensayo (música),
Spinetta: Mito y mitología,"Favoretto, Mara",Ensayo (música),
La perfecta casada,"León, Luis de",Poesía,
El alcalde de Zalamea; La vida es sueño,"Calderón de la Barca, Pedro",Teatro,
Viajes,"Polo, Marco",Ensayo (Historia),
Aproximaciones al estructuralismo,"Thion, Serge [y otros 3]",Ensayo (Filosofía),
Historia de la literatura chilena,"Dussuel, Francisco",Ensayo (literatura),
Vida de Antonio Machado y Manuel,"Perez Ferrero, Miguel",Ensayo (biografía),
La teosofía: Introducción al conocimiento suprasensible del mundo y del destino del hombre,"Steiner, Rodolfo",Filosofía,
La princesa primavera,"Aira, César",Novela,
Asimetría,"Zagajewski, Adam",Poesía,
¡Vamos remoliendo mi alma!: La vida festiva popular en Santiago de Chile 1870-1910,"Salinas, Maximiliano (y otros 3)",Historia,
"Coquimbo, cuaderno de viaje","Vilo Barrera, Eduardo",Arte,
Poetas del dulce país de Chipre,"Castillo Didier, Miguel",Poesía,
El último Don,"Puzo, Mario",Novela,
El túnel,"Sábato, Ernesto",Novela,
Miguel de Unamuno Antología,"Unamuno, Miguel de",Novela,
Brindis de la lira popular,"Jiménez, Verónica",Poesía,
Cien años de soledad,"García Márquez, Gabriel",Novela,
Bombardeo de poemas Londres 2012,"Gallardo, Octavio (y otros)",Poesía,
Historia de la literatura Norteamericana,"Dauwen Zabel, Morton",Ensayo (literatura),
Obras completas de Andrés Bello,"Bello, Andrés",Ensayo (literatura),
"Hombres de palabras: Oradores, tribunos y predicadores","Vicuña, Manuel",Ensayo,
La Araucana,"Ercilla y Zúñiga, Alonso de",Poesía,V
Palabras griegas del Nuevo Testamento,"Barclay, William",,
Amor en alta mar,"Huneeus, Pablo",Novela,
Herodías,"Flaubert, Gustave",Cuento,
José Hierro: Antología poética 1936-1998,"Hierro, José",Poesía,
Unamuno,"Ciudad, Mario (y otros 7)",Ensayo (literatura),
El diablo en el cuerpo,"Radiguet, Raymond",Novela,
El barón rampante ,"Calvino, Italo",Novela,
Las manos de la justicia,"Emmerich, Fernando",Novela,
53 usos que usted puede darle a este libro,Escuela de diseño UTEM,Arte,
 H.P Lovecraft Cuentos II,"Lovecraft, H.P",Cuento,
"Quinto Horacio Flaco, Sátiras","Horacio Flaco, Quinto",Poesía,
Fuenteovejuna,"Vega, Lope de",Teatro,
El arte de la novela,"James, Henry",Ensayo (literatura),
Adiós a la familia,"Arenas, Braulio",Novela,
Jorge Luis Borges: Antología Poética 1923-1977,"Borges, Jorge Luis",Poesía,
Cuentos de la selva,"Quiroga, Horacio",Cuento,
"Los versos, los años","Belli de la Torre, Carlos",Poesía,
El humo y sus prodigios,"Quintero, Aramis",Poesía,
Suave es vivir solo,"Pessoa, Fernando",Poesía,
El tren llegó puntual,"Böll, Heinrich",Novela,
Sobre los ángeles; Yo era un tonto y lo que he visto me ha hecho dos tontos,"Alberti, Rafael",Poesía,
El naturalismo,"Zola, Émile",Ensayo (literatura),
Tan linda y tan solita: El libro del fin del patriarcado,"Araos, Josefa; García, June",Ensayo (sociología),
Decamerón,"Boccacio, Giovanni",Novela,
El ingenioso Don Quijote de la Mancha. Tomo I,"Cervantes, Miguel de",Novela,
Reventando lo existente. Reflexiones del combate minoritario,Conspiración de Células del Fuego,Ensayo,
"Afrodita: cuentos, recetas y otros afrodisíacos","Allende, Isabel",Cuentos,
Un mundo feliz,"Huxley, Aldous",Novela,
Almanaque,"Pinos, Jaime",Poesía,
Alto hospicio,"Zúñiga González, Nelson",Poesía,
Tizne,"Rivera L., Ismael",Poesía,
La desesperanza,"Donoso, José",Novela,
Madreselva,"Lombardi, Leonora",Poesía,
"En septiembre, los poetas","Neves, Eugenia",Novela,
Tiberio,Suetonio,Historia,
Historia y antología de la poesía Gauchesca,"Chávez, Fermín",Poesía,
Mito-Manías,"Chávez Carmona, Mario",Poesía,
Gomorra,"Saviano, Roberto",Periodismo,
"Memorias, presentes e imaginarios sobre la ciudad","González Pinto, Mauricio",Cuentos ,
Martín Fierro,"Hernández, José",Poesía,
Una gallega des-armada,"Martinez, Alicia Dolores",Ensayo,
"Cambiemos la aldea: Los Encuentros de Concepción 1958,1960,1962","Bradu, Fabienne",Ensayo (Literatura),
El Valparaíso de los escritores,"Castagneto, Piero",Ensayo (Literatura),
Caballo de Troya,"Benítez, Juan José",Periodismo,
"¡Viva la anarquía! Sociabilidad, Vida y Prácticas Culturales Anarquistas: Santiago y Valparaíso (1890-1927)","Lagos Mieres, Manuel Andrés",Historia,
Pappo: El hombre suburbano,"Marchi, Sergio",Biografía,V
Algún tiempo atrás: La vida de Gustavo Cerati,"Marchi, Sergio",Biografía,V
Prehistoria del anarquismo,"Cappelletti, Ángel",Historia,
Spinetta: Ruido de magia,"Marchi, Sergio",Biografía,V
Callejeros: En primera persona,"Cambra, Laura",Periodismo,V
Soy tu hombre: La vida de Leonard Cohen,"Simmons, Sylvie",Biografía,V 
Miguel Kast: Pasión de vivir,"Lavín, Joaquín",Biografía,V
El ABC del comunismo libertario,"Berkman, Alexander",Ensayo,V
Antología libertaria,"Reclus, Eliseo (y otros)",Ensayo,V
Frente amplio en el momento cero,"Mayol, Alberto; Cabrera, Andrés",Ensayo (política),V
La democracia disciplinaria,"Dávalos, Pablo",Ensayo (política),V
A partir de ahora el combate será libre,"Barret, Rafael",Periodismo,V
El barrabrava,"González, Fernando",Novela,V
Una década en movimiento: Luchas populares en América Latina en el amanecer del siglo XXI,"Rebón, Julián; Modonesi, Massimo",Ensayo (política),V
Boca: el más grande de acá a Japón,"Dana, Fabio",Ensayo,V
Breve historia del anarquismo,"Paniagua, Javier",Ensayo (historia),V
Papá Goriot,"Balzac, Honoré de",Novela,V
Antigua vida mía,"Serrano, Marcela",Novela,V
La inmortalidad,"Kundera, Milan",Novela,V
Letras insurgentes: Las calles y otros relatos en rojinegro,"Rodríguez Morales, Guillermo",Cuento,V
Nuestra única propuesta es el conflicto,Anarquistas,Ensayo ,V
Mi hermano Jaime,"Gúzman Errázuriz, Rosario",Biografía,V
Severino di Giovanni: La pasión anarquista,"Noble, Cristina",Biografía,V
Delito y cultura: Los códigos de la ilegalidad en la juventud marginal urbana,"Míguez, Daniel",Ensayo,V
Violencia en el fútbol: Investigaciones sociales y fracasos políticos,"Garriga Zucal, José",Ensayo,V
103: Más que un siglo azul y amarillo,"Estévez, Diego Ariel",Ensayo ,V
"De roteques, cuicos y otros modelitos","Ossa H., María Angelica; Clemente B., María del Pilar",Ensayo,V
Fuimos soldados: Historia secreta de la contraofensiva montonera,"Larraquy, Marcelo",Ensayo (Historia),V
Tras los muros: Cárceles. Una historia de locura y corrupción,"Beldi, Luis",Ensayo,V
Chile: Cien días en la historia del siglo XX,"Silva, Bárbara; Cabrera, Josefina",Ensayo (Historia),V
"El pibe: Negocios, intrigas y secretos de Mauricio Macri, el hombre que quiere ser presidente","Cerruti, Gabriela",Ensayo,V
La C.N.T en la Revolución Española: Tomo I,"Peirats, José",Ensayo (Historia),V
Gente mala,"Guarello, Juan Cristóbal",Novela,V
Cada vez te quiero más,"Zuviría, Facundo de",Arte ,V
La C.N.T en la Revolución Española: Tomo II,"Peirats, José",Ensayo (Historia),V
La C.N.T en la Revolución Española: Tomo III,"Peirats, José",Ensayo (Historia),V
Las voces bajas,"Rivas, Manuel",Novela,V
"Fútbol  limpio, negogios turbios","Veiga, Gustavo",Ensayo,V
"Ciudadanxs no: ""Desbordando al movimiento estudiantil""",Anónimo,Ensayo,V
La revolución industrial 1760-1830,"Ashton, Thomas Southcliffe",Ensayo (Historia),V
El malestar en la globalización,"Stiglitz, Joseph E.",Ensayo (economía),V
Punk Rock: Historia de 30 años de subversión,"Muniesa, Mariano",Ensayo (Historia),V
"En cualquier caso, ningún remordimiento","Cacucci, Pino",Novela,V
Historia del contrabando en la Argentina: De la aduana del Virreinato a la mafia de los contenedores,"Federico, Mauro; Ortega Zabala, Fernando",Historia,V
Ciudad Satélite,"Molina, Paola",Novela,V
La tortura es el miedo a las ideas de los otros,Comisión ética contra la tortura Chile,Ensayo (Informe),V
La boda del poeta,"Skármeta, Antonio",Novela,V
La daga y la dinamita: Los anarquistas y el nacimiento del terrorismo,"Avilés Farré, Juan",Ensayo (Historia),V
La cámpora: Historia secreta de los herederos de Néstor y Cristina Kirchner,"Marco, Laura di",Ensayo (periodismo),V
El negro palma: Retorno desde el punto de fuga,"García Álvarez, Tomás",Biografía,V
Calles de Buenos Aires: El significado de sus nombres,"Iusem, Miguel",Ensayo (Historia),V
Disposición final: La confesión de Videla sobre los desaparecidos,"Reato, Ceferino",Ensayo (Periodismo),V
ETA de principio a fin: Crónica documentada de un relato,"Azurmendi, José Félix",Ensayo (Historia),V
Cárceles de Mala Muerte: informe (anti) carcelario,"Castelnovo, Oscar [ y otros 12]",Ensayo,V
La red de la dominación,"Landstreicher, Wolfi",Ensayo (política),
En los zapatos de Valeria,"Benavant, Elísabet",Novela,
La canción punk de los 80 en Chile,"Lukinovic,Jonathan",Música,V
100: Historia de un siglo azul y amarillo,"Estévez, Diego Ariel",Ensayo (historia),
Los verdaderos mellizos de la Boca,"Valdés, Leandro",Ensayo (Periodismo),
La Bombonera libro de oro,"Videla, Gustavo",Ensayo (historia),
"Colección Museo Municipal de Bellas Artes de Valparaíso, Palacio Baburizza",Corporación Patrimonio Artístico,Arte,
Lo que fue presente (Diarios 1985-2006),"Abad Faciolince, Héctor",Novela,
El tunel,"Sabato, Ernesto",Novela,V
Memorias del calabozo,"Rosencof, Mauricio; Fernández Huidobro, Eleuterio",Ensayo,V
La lista de Bergoglio: Los salvados por Francisco durante la dictadura. Una historia no contada,"Scavo, Nello",Ensayo (historia),V
"El Mil, Puig Antich y los Gari","Tajuelo, Telefósforo",Ensayo (historia),V
Los Pinochet Boys: Chile (1984-1987),"Conejeros, Miguel",Arte,V
El perro civilizado,"Macchiavello C., Marco",Ensayo,V
"Corresponsales bajo dictadura: (Chile, 1973-1990)","Milesi, Orlando",Ensayo (periodismo),V
El amor es imposible: Ocho tesis filosóficas,"Sztajnszrajber, Darío",Ensayo (filosofía),V
La Ciudad de las Bestias,"Allende, Isabel",Novela,V
La virgen cabeza,"Cabezón Cámara, Gabriela",Novela,V
La hora final: La verdad sobre la captura de Abimael Guzmán,"Paredes, Carlos",Ensayo (periodismo),V
Dejen todo en mis manos,"Levrero, Mario",Novela,V
Diez,"Emar, Juan",Novela,V
El alma de las flores: Antología poética bilingüe,"Misuzu, Kaneko",Poesía,V
Los errantes,"Tokarczuk, Olga",Novela,V
Antologia (1973-2014),"Bertoni, Claudio",Poesía,V
Violeta,"Bertoni, Claudio",Poesía,V
Cartas a Lucilio: Epístolas Escogidas,Séneca,Ensayo (Filosofía),V
ETA 1958-2008: Medio siglo de historia,"Casanova, Iker",Ensayo (Historia),V
Como la no-violencia protege al Estado,"Gelderloos, Peter",Ensayo (sociología),V